"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"88","BA Stokes",1.50076273886254,9.00457643317526,6,1.68169466542832,10.0901679925699,18,-0.527710343574489,-0.479606463310528,0,300,18
"89","Yash Thakur",0.0473020008401508,9.0346821604688,207,0.00759623717044867,1.4508812995557,9.07853403141361,-0.25146388817609,-0.146475991584407,13,131.884057971014,21
"90","KK Ahmed",0.0456633590180147,9.04134508556691,212,0.136578895917234,27.0426213916123,9.12121212121212,-0.0138060590154516,0.193539163024714,9,134.433962264151,31.6666666666667
"91","Vivrant Sharma",0.571065352632772,10.2791763473899,21,0.641433430165802,11.5458017429844,12.3333333333333,0.325689394010766,0.112790318425989,0,161.904761904762,34
"92","AS Joseph",0.073553604705096,10.5917190775338,150,0.0125325650495655,1.80468936713743,9.375,0.0147855935276175,0.0171690815599639,7,146,31.2857142857143
"93","MP Stoinis",0.176604352074165,11.4792828848207,69,0.20139261083645,13.0905197043693,9.23076923076923,-0.365844838150151,-0.314194086830087,5,139.130434782609,19.2
"94","C Green",0.0526445420329664,12.0029555835163,239,0.0769953657443561,17.5549433897132,9.5,0.554711823572734,0.755789165580201,6,143.514644351464,57.1666666666667
"95","MM Sharma",0.0462956329875714,12.2683427417064,268,-0.238148626859311,-63.1093861177175,8.17358490566038,-0.502992116162526,-0.509615007348377,27,133.582089552239,13.2592592592593
"96","Mohit Rathee",1.02261867213859,12.271424065663,12,0.964320934846094,11.5718512181531,14.5,0.39517191664493,0.0751289627942391,0,241.666666666667,29
"97","Duan Jansen",0.518603166805825,12.4464760033398,28,0.362571196239155,8.70170870973971,13.25,0.58092923829706,0.551444789152162,1,175,49
"98","VG Arora",0.137806257537863,13.2294007236349,107,0.0221804053304943,2.12931891172746,9.125,-0.123877012878311,-0.0131503017201348,5,125.233644859813,26.8
"99","Mustafizur Rahman",0.343509130517015,14.4273834817146,42,0.261488460334049,10.9825153340301,11.2857142857143,1.46069006249485,1.68929274829195,1,188.095238095238,79
"100","DL Chahar",0.0725078137162506,14.7915939981151,215,0.129712640152401,26.4613785910898,8.73529411764706,-0.199388846254045,-0.19089738495336,13,133.023255813953,22
"101","C Sakariya",0.325237833860567,15.6114160253072,55,0.418486146697554,20.0873350414826,11.125,-0.00293157250342882,0.261633494816061,3,149.090909090909,27.3333333333333
"102","Gurnoor Brar",0.899946322424259,16.1990338036367,21,1.00550667667534,18.0991201801562,14,-0.0983039546131895,0.0407126178997537,0,185.714285714286,39
